State_Name,Crop,Season,State_Zone,Crop_Group,Window_Type,Start_Month,Start_Day,Start_Year_Offset,End_Month,End_Day,End_Year_Offset,Window_Days,Example_Crop_Year,Example_Start_Date,Example_End_Date,Observed_Rows_1997_2014,Observed_Districts_1997_2014,Rule_Level,Rule_Version,Rule_Status,Rule_Basis,Special_Note,Dataset_Reference,Season_Reference
Andaman and Nicobar Islands,Black pepper,Whole Year,south_coastal,black_pepper,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,22,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Cashewnut,Rabi,south_coastal,cashew,seasonal_reporting_window,10,1,0,4,30,1,212,2010,2010-10-01,2011-04-30,18,3,state_zone+crop+season,v1.0,decided_project_convention,Perennial or plantation crop mapped to its recorded reporting season.,Seasonal reporting window for a perennial/plantation crop; not its full biological life cycle.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Cashewnut,Whole Year,south_coastal,cashew,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,30,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Coconut,Whole Year,south_coastal,coconut,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,51,4,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Cowpea(Lobia),Rabi,south_coastal,cowpea,crop_cycle_estimate,10,1,0,1,8,1,100,2010,2010-10-01,2011-01-08,12,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 100-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Dry Ginger,Rabi,south_coastal,ginger,crop_cycle_estimate,10,1,0,5,28,1,240,2010,2010-10-01,2011-05-28,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 240-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Dry Ginger,Summer,south_coastal,ginger,crop_cycle_estimate,2,15,1,10,12,1,240,2010,2011-02-15,2011-10-12,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 240-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Dry chillies,Kharif,south_coastal,chilli,crop_cycle_estimate,5,15,0,11,10,0,180,2010,2010-05-15,2010-11-10,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 180-day cycle starting from the south_coastal Kharif anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Dry chillies,Rabi,south_coastal,chilli,crop_cycle_estimate,10,1,0,3,29,1,180,2010,2010-10-01,2011-03-29,19,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 180-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Dry chillies,Summer,south_coastal,chilli,crop_cycle_estimate,2,15,1,8,13,1,180,2010,2011-02-15,2011-08-13,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 180-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Dry chillies,Whole Year,south_coastal,chilli,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,20,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Dry ginger,Rabi,south_coastal,ginger,crop_cycle_estimate,10,1,0,5,28,1,240,2010,2010-10-01,2011-05-28,3,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 240-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Dry ginger,Whole Year,south_coastal,ginger,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,14,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Ginger,Rabi,south_coastal,ginger,crop_cycle_estimate,10,1,0,5,28,1,240,2010,2010-10-01,2011-05-28,15,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 240-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Ginger,Whole Year,south_coastal,ginger,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,14,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Groundnut,Rabi,south_coastal,groundnut,crop_cycle_estimate,10,1,0,1,28,1,120,2010,2010-10-01,2011-01-28,13,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Groundnut,Summer,south_coastal,groundnut,crop_cycle_estimate,2,15,1,6,14,1,120,2010,2011-02-15,2011-06-14,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Maize,Rabi,south_coastal,maize,crop_cycle_estimate,10,1,0,1,28,1,120,2010,2010-10-01,2011-01-28,18,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Maize,Summer,south_coastal,maize,crop_cycle_estimate,2,15,1,6,14,1,120,2010,2011-02-15,2011-06-14,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Moong(Green Gram),Rabi,south_coastal,green_gram,crop_cycle_estimate,10,1,0,12,29,0,90,2010,2010-10-01,2010-12-29,16,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 90-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Moong(Green Gram),Summer,south_coastal,green_gram,crop_cycle_estimate,2,15,1,5,15,1,90,2010,2011-02-15,2011-05-15,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 90-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Oilseeds total,Whole Year,south_coastal,aggregate_oilseeds,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,8,2,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Other Kharif pulses,Kharif,south_coastal,aggregate_kharif_pulses,aggregate_reporting_window,5,15,0,11,30,0,200,2010,2010-05-15,2010-11-30,8,2,state_zone+crop+season,v1.0,decided_project_convention,Aggregate crop category mapped to the complete reporting-season window.,Aggregate crop category; uses the full reporting-season window.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Rapeseed &Mustard,Rabi,south_coastal,rapeseed_mustard,crop_cycle_estimate,10,16,0,3,4,1,140,2010,2010-10-16,2011-03-04,7,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 140-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Rapeseed &Mustard,Summer,south_coastal,rapeseed_mustard,crop_cycle_estimate,2,15,1,7,4,1,140,2010,2011-02-15,2011-07-04,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 140-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Rice,Autumn,south_coastal,rice,crop_cycle_estimate,3,1,0,8,27,0,180,2010,2010-03-01,2010-08-27,20,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 180-day cycle starting from the south_coastal Autumn anchor.,Autumn rice: early rice crop; the window starts well before meteorological autumn.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Rice,Kharif,south_coastal,rice,crop_cycle_estimate,5,15,0,10,11,0,150,2010,2010-05-15,2010-10-11,29,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 150-day cycle starting from the south_coastal Kharif anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Safflower,Summer,south_coastal,safflower,crop_cycle_estimate,2,15,1,7,14,1,150,2010,2011-02-15,2011-07-14,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 150-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Sesamum,Rabi,south_coastal,sesame,crop_cycle_estimate,10,1,0,1,8,1,100,2010,2010-10-01,2011-01-08,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 100-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Sesamum,Summer,south_coastal,sesame,crop_cycle_estimate,2,15,1,5,25,1,100,2010,2011-02-15,2011-05-25,7,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 100-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Sugarcane,Autumn,south_coastal,sugarcane,crop_cycle_estimate,4,1,0,3,31,1,365,2010,2010-04-01,2011-03-31,20,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 365-day cycle starting from the south_coastal Autumn anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Sugarcane,Kharif,south_coastal,sugarcane,crop_cycle_estimate,5,15,0,5,14,1,365,2010,2010-05-15,2011-05-14,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 365-day cycle starting from the south_coastal Kharif anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Kharif_crop
Andaman and Nicobar Islands,Sugarcane,Rabi,south_coastal,sugarcane,crop_cycle_estimate,10,1,0,9,30,1,365,2010,2010-10-01,2011-09-30,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 365-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Sugarcane,Summer,south_coastal,sugarcane,crop_cycle_estimate,2,15,1,2,14,2,365,2010,2011-02-15,2012-02-14,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 365-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Sugarcane,Whole Year,south_coastal,sugarcane,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,24,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Sunflower,Rabi,south_coastal,sunflower,crop_cycle_estimate,10,1,0,1,18,1,110,2010,2010-10-01,2011-01-18,5,3,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 110-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Sunflower,Summer,south_coastal,sunflower,crop_cycle_estimate,2,15,1,6,4,1,110,2010,2011-02-15,2011-06-04,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 110-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Sweet potato,Autumn,south_coastal,sweet_potato,crop_cycle_estimate,4,1,0,7,29,0,120,2010,2010-04-01,2010-07-29,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Autumn anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Sweet potato,Rabi,south_coastal,sweet_potato,crop_cycle_estimate,10,1,0,1,28,1,120,2010,2010-10-01,2011-01-28,19,4,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Sweet potato,Summer,south_coastal,sweet_potato,crop_cycle_estimate,2,15,1,6,14,1,120,2010,2011-02-15,2011-06-14,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 120-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Sweet potato,Whole Year,south_coastal,sweet_potato,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,16,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Tapioca,Autumn,south_coastal,tapioca,crop_cycle_estimate,4,1,0,1,25,1,300,2010,2010-04-01,2011-01-25,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 300-day cycle starting from the south_coastal Autumn anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
Andaman and Nicobar Islands,Tapioca,Rabi,south_coastal,tapioca,crop_cycle_estimate,10,1,0,7,27,1,300,2010,2010-10-01,2011-07-27,1,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 300-day cycle starting from the south_coastal Rabi anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Rabi_crop
Andaman and Nicobar Islands,Tapioca,Summer,south_coastal,tapioca,crop_cycle_estimate,2,15,1,12,11,1,300,2010,2011-02-15,2011-12-11,2,1,state_zone+crop+season,v1.0,decided_project_convention,Crop-specific 300-day cycle starting from the south_coastal Summer anchor.,,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,https://en.wikipedia.org/wiki/Zaid_crop
Andaman and Nicobar Islands,Tapioca,Whole Year,south_coastal,tapioca,annual_reporting_window,7,1,0,6,30,1,365,2010,2010-07-01,2011-06-30,30,3,state_zone+crop+season,v1.0,decided_project_convention,Whole Year mapped to the complete July-June crop-year reporting cycle.,Annual reporting window; do not calculate planting/harvest flags.,https://www.kaggle.com/datasets/arjunyadav99/indian-agriculture-crop-production-and-yield,"Project convention based on the recorded Indian crop-season label; Autumn and Winter are treated as crop reporting seasons, not literal meteorological seasons."
