district_year_point_id,district_id,Crop_Year,preferred_census_version,used_census_version,district_point_version_id,weather_point_id,latitude,longitude,assignment_method,assignment_confidence,alternate_layer_used,shared_parent_boundary
DYP_C7A2FFDCDDE143F7,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2007,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_EAF6CB96F6632FC6,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2008,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_DB9FD386A5BAA249,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2009,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_787458DC6FF6A6E6,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2010,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_B08347C86EBB0A78,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2011,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_9B4CBC11AA326CAA,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2012,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_E86C1C14548FD5C4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2013,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_9C2E50A2B80445C9,IND_ANDAMAN_AND_NICOBAR_ISLANDS_ANDAMAN_AND_NICOBAR_ISLANDS,2014,Census 2011,Census 2011,DPV_AA978FD073CD1A45,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,working_fuzzy_same_state,working_fallback,0,0
DYP_5B4B0DB94B130912,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,1997,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_5FE3B44ECBE90E79,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,1998,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_6B52966E6B5F13F4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,1999,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_D4C6855A334B7AE4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2000,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_348FEFCE8191BD27,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2001,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_A32F737C2D0F3496,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2002,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_F40068F2EBC48EEC,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2003,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_736E49AAF55F7E1E,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2004,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_FC32ACE67BE70330,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2005,Census 2001,Census 2001,DPV_C385E1AA6D7F4D21,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,confirmed_exact_unique,confirmed,0,0
DYP_0028D95CC3DED0F1,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2006,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_1A9555A6AF1A794D,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2007,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_5606252163FB12B1,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2008,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_967E8A4A0FD6DA20,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2009,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_0A0E43FDDDB74697,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2010,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_0785CCD07227DA7C,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2011,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_DEA9BB10B4333668,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2012,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_45ED732E2FCA767C,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2013,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_FE31CAFB763ED59B,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NICOBARS,2014,Census 2011,Census 2001,DPV_BA890C247AB782E0,WPT_CC1ED26C57F3AA025BF3,7.00040199,93.81029172,alternate_layer_confirmed_name,working_strong,1,0
DYP_1A57BA904DBD3EF4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,1997,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_99D24D0BA40FE0EB,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,1998,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_A11A0F23D8E03475,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,1999,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_EC967830D874E417,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2000,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_E5A5DA5869F92013,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2001,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_45E89EB594ED13CA,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2002,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_A0921DFDE32D8732,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2003,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_63D5C65BB9499D12,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2004,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_7B7C58AEB7696D10,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2005,Census 2001,Census 2011,DPV_4EDC241068BF452A,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,alternate_layer_confirmed_name,working_strong,1,0
DYP_5CA0DCCDB56EE6DD,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2006,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_861AFA6474D77080,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2007,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_1C43B53E96DF74CC,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2008,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_161D1F9221172FD7,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2009,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_9E916B41EE766A7F,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2010,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_6E3A691B7BFCD4A3,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2011,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_A770C539E2E22AFD,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2012,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_819EA5023B7674C4,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2013,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_9A315DB782386B06,IND_ANDAMAN_AND_NICOBAR_ISLANDS_NORTH_AND_MIDDLE_ANDAMAN,2014,Census 2011,Census 2011,DPV_93CD20EFEFF2EF86,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,confirmed_exact_unique,confirmed,0,0
DYP_CC6098D1E5CAAF41,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,1997,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_A83204C159A3CF36,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,1998,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_FA8CB1248E83D500,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,1999,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_329A3599209E11DF,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2000,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_71D3C79EF0C55443,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2001,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_84B19B62AE93EEC0,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2002,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_2B4EBAB394B48536,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2003,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_476CEA276E158196,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2004,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_70F7E631CAF571F9,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2005,Census 2001,Census 2001,DPV_D880621EB684EC7F,WPT_E7B8C84966BA8B4D2DC0,12.61158497,92.83153129,working_fuzzy_same_state,working_fallback,0,1
DYP_2FF6B7DD82652D9D,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2006,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_6B00E10B0BF20DA1,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2007,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_C6F54F4226E59D75,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2008,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_BE50342F01C0369C,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2009,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_486D5431EBD85EAC,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2010,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_266D132009DCE992,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2011,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_7734DE3FEDE2C12E,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2012,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_63409FB76F33D676,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2013,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_816FA64BAE47BF5F,IND_ANDAMAN_AND_NICOBAR_ISLANDS_SOUTH_ANDAMANS,2014,Census 2011,Census 2011,DPV_6C75931787073AC5,WPT_7A7FB5FEDF11E8B21545,10.70434741,92.48893577,working_fuzzy_same_state,working_fallback,0,0
DYP_C6C030ED184D7799,IND_ANDHRA_PRADESH_ADILABAD,1997,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_EBBFAE91B4B6C6C9,IND_ANDHRA_PRADESH_ADILABAD,1998,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_43C25A79BEE9FD4A,IND_ANDHRA_PRADESH_ADILABAD,1999,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_CCF5BFDA5898EB89,IND_ANDHRA_PRADESH_ADILABAD,2000,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_833D3FD99748A613,IND_ANDHRA_PRADESH_ADILABAD,2001,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_31857CDBBAB4540C,IND_ANDHRA_PRADESH_ADILABAD,2002,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_A1F1585980E1F8BF,IND_ANDHRA_PRADESH_ADILABAD,2003,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_B2E01DAA9421F0E3,IND_ANDHRA_PRADESH_ADILABAD,2004,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_0ECDBFFF74034294,IND_ANDHRA_PRADESH_ADILABAD,2005,Census 2001,Census 2001,DPV_8418637F0E233339,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_D2B99C0B4B37C88F,IND_ANDHRA_PRADESH_ADILABAD,2006,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_E13AC973876EA87A,IND_ANDHRA_PRADESH_ADILABAD,2007,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_EAE0BEE1B6CB843A,IND_ANDHRA_PRADESH_ADILABAD,2008,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_A7FC68FB8C6DC627,IND_ANDHRA_PRADESH_ADILABAD,2009,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_337A3C11CB9DC14B,IND_ANDHRA_PRADESH_ADILABAD,2010,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_FEF166CEA445C99A,IND_ANDHRA_PRADESH_ADILABAD,2011,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_D2DB973DDC40EDED,IND_ANDHRA_PRADESH_ADILABAD,2012,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_621F9BBD17C11F2B,IND_ANDHRA_PRADESH_ADILABAD,2013,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_000693CE1C128C4F,IND_ANDHRA_PRADESH_ADILABAD,2014,Census 2011,Census 2011,DPV_36CB2D9D9149CF8B,WPT_4275F03D0FC1AAA5EDE7,19.29892001,79.08081669,confirmed_exact_unique,confirmed,0,0
DYP_B53CA32200F56E92,IND_ANDHRA_PRADESH_ANANTAPUR,1997,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_F15156BE03411737,IND_ANDHRA_PRADESH_ANANTAPUR,1998,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_825674E2ADA6B7EF,IND_ANDHRA_PRADESH_ANANTAPUR,1999,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_8E22B4AB941125FE,IND_ANDHRA_PRADESH_ANANTAPUR,2000,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_FD5E718C6E0195F7,IND_ANDHRA_PRADESH_ANANTAPUR,2001,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_CDC2A79C38B86820,IND_ANDHRA_PRADESH_ANANTAPUR,2002,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
DYP_AF02696EC60A32A4,IND_ANDHRA_PRADESH_ANANTAPUR,2003,Census 2001,Census 2001,DPV_8C412FD452230A53,WPT_50C89412B4EFD509ABCE,14.45698852,77.50944784,confirmed_exact_unique,confirmed,0,0
