problem_district_id,problem_state,problem_district,candidate_district_id,candidate_state,candidate_district,same_year_season_crop_count,same_area_count,same_production_count,same_yield_count,exact_data_row_match_count,production_ratio_10_count,production_ratio_100_count,production_ratio_1000_count,first_year,last_year,candidate_unique_crops,candidate_unique_seasons,evidence_summary,candidate_status
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_KAPURTHALA,Punjab,KAPURTHALA,72,6,2,2,2,0,2,0,1997,2014,16,3,72 shared Crop_Year+Season+Crop rows; 6 same Area; 2 same Production; 2 same yield; 2 exact data-row matches; ratio hits x10/x100/x1000 = 0/2/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_LUDHIANA,Punjab,LUDHIANA,90,7,0,0,0,0,0,0,1997,2014,19,3,90 shared Crop_Year+Season+Crop rows; 7 same Area; 0 same Production; 0 same yield; 0 exact data-row matches; ratio hits x10/x100/x1000 = 0/0/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_MANSA,Punjab,MANSA,64,9,6,5,4,1,7,0,1997,2014,14,3,64 shared Crop_Year+Season+Crop rows; 9 same Area; 6 same Production; 5 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 1/7/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_MOGA,Punjab,MOGA,66,8,7,6,4,3,9,0,1997,2014,13,3,66 shared Crop_Year+Season+Crop rows; 8 same Area; 7 same Production; 6 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 3/9/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_MUKTSAR,Punjab,MUKTSAR,56,8,2,4,2,1,4,0,1997,2014,18,3,56 shared Crop_Year+Season+Crop rows; 8 same Area; 2 same Production; 4 same yield; 2 exact data-row matches; ratio hits x10/x100/x1000 = 1/4/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_NAWANSHAHR,Punjab,NAWANSHAHR,80,4,2,4,1,1,4,0,1997,2014,16,3,80 shared Crop_Year+Season+Crop rows; 4 same Area; 2 same Production; 4 same yield; 1 exact data-row matches; ratio hits x10/x100/x1000 = 1/4/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_PATHANKOT,Punjab,PATHANKOT,38,8,1,0,0,0,1,0,2011,2014,10,3,38 shared Crop_Year+Season+Crop rows; 8 same Area; 1 same Production; 0 same yield; 0 exact data-row matches; ratio hits x10/x100/x1000 = 0/1/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_PATIALA,Punjab,PATIALA,88,8,2,6,2,0,6,0,1997,2014,17,3,88 shared Crop_Year+Season+Crop rows; 8 same Area; 2 same Production; 6 same yield; 2 exact data-row matches; ratio hits x10/x100/x1000 = 0/6/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_RUPNAGAR,Punjab,RUPNAGAR,112,7,6,13,4,3,14,0,1997,2014,18,3,112 shared Crop_Year+Season+Crop rows; 7 same Area; 6 same Production; 13 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 3/14/0; candidate name contains one of the requested Punjab review terms,name_hint_only_no_data_confirmation
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_S_A_S_NAGAR,Punjab,S.A.S NAGAR,73,55,0,0,0,17,72,0,2006,2014,12,3,73 shared Crop_Year+Season+Crop rows; 55 same Area; 0 same Production; 0 same yield; 0 exact data-row matches; ratio hits x10/x100/x1000 = 17/72/0; candidate name contains one of the requested Punjab review terms,strong_scaled_data_match
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_SANGRUR,Punjab,SANGRUR,94,9,5,8,4,2,8,0,1997,2014,20,3,94 shared Crop_Year+Season+Crop rows; 9 same Area; 5 same Production; 8 same yield; 4 exact data-row matches; ratio hits x10/x100/x1000 = 2/8/0,reviewed_overlap_no_correction
IND_PUNJAB_S,Punjab,S,IND_PUNJAB_TARN_TARAN,Punjab,TARN TARAN,94,8,5,4,1,4,5,1,2006,2014,14,3,94 shared Crop_Year+Season+Crop rows; 8 same Area; 5 same Production; 4 same yield; 1 exact data-row matches; ratio hits x10/x100/x1000 = 4/5/1,reviewed_overlap_no_correction
